forecaster_id,target_year,target_quarter,forecast_year,forecast_quarter,ens_fc
1,2001,,2001,1,2.7
2,2001,,2001,1,2.5
3,2001,,2001,1,2.9
4,2001,,2001,1,2.7
5,2001,,2001,1,2.7
7,2001,,2001,1,2.5
9,2001,,2001,1,2.5
10,2001,,2001,1,2.8
11,2001,,2001,1,3
14,2001,,2001,1,2.6
15,2001,,2001,1,2.8
16,2001,,2001,1,2.7
17,2001,,2001,1,2.8
19,2001,,2001,1,2.8
20,2001,,2001,1,2.7
22,2001,,2001,1,2.5
23,2001,,2001,1,2.8
24,2001,,2001,1,2.7
26,2001,,2001,1,2.8
29,2001,,2001,1,2.8
31,2001,,2001,1,2.9
32,2001,,2001,1,2.6
33,2001,,2001,1,2.5
34,2001,,2001,1,2.7
36,2001,,2001,1,3
37,2001,,2001,1,2.9
38,2001,,2001,1,2.8
39,2001,,2001,1,2.7
41,2001,,2001,1,3
42,2001,,2001,1,2.6
48,2001,,2001,1,2.8
49,2001,,2001,1,2.6
53,2001,,2001,1,3
54,2001,,2001,1,2.7
55,2001,,2001,1,2.5
56,2001,,2001,1,2.9
59,2001,,2001,1,2.4
61,2001,,2001,1,2.6
68,2001,,2001,1,2.9
70,2001,,2001,1,2.9
73,2001,,2001,1,2.4
82,2001,,2001,1,2.5
85,2001,,2001,1,2.5
87,2001,,2001,1,2.8
89,2001,,2001,1,2.9
90,2001,,2001,1,3
91,2001,,2001,1,3
92,2001,,2001,1,2.73
93,2001,,2001,1,2.8
94,2001,,2001,1,2.2
95,2001,,2001,1,2.7
96,2001,,2001,1,2.3
1,2001,3,2001,1,2.6
2,2001,3,2001,1,2.5
3,2001,3,2001,1,2.8
4,2001,3,2001,1,2.7
5,2001,3,2001,1,2.7
7,2001,3,2001,1,2.4
9,2001,3,2001,1,2.6
10,2001,3,2001,1,2.8
11,2001,3,2001,1,3.1
14,2001,3,2001,1,2.5
15,2001,3,2001,1,2.7
16,2001,3,2001,1,2.9
17,2001,3,2001,1,3.4
19,2001,3,2001,1,2.8
20,2001,3,2001,1,2.5
22,2001,3,2001,1,2.3
23,2001,3,2001,1,2.6
24,2001,3,2001,1,3.1
26,2001,3,2001,1,2.7
29,2001,3,2001,1,2.9
31,2001,3,2001,1,2.8
32,2001,3,2001,1,2.5
33,2001,3,2001,1,2.6
34,2001,3,2001,1,2.8
36,2001,3,2001,1,2.9
37,2001,3,2001,1,3.1
38,2001,3,2001,1,2.7
39,2001,3,2001,1,2.6
41,2001,3,2001,1,3
42,2001,3,2001,1,2.5
48,2001,3,2001,1,2.6
49,2001,3,2001,1,2.5
53,2001,3,2001,1,2.8
54,2001,3,2001,1,2.7
55,2001,3,2001,1,2.4
56,2001,3,2001,1,2.8
59,2001,3,2001,1,2.4
61,2001,3,2001,1,2.5
68,2001,3,2001,1,2.8
70,2001,3,2001,1,2.8
73,2001,3,2001,1,2.2
82,2001,3,2001,1,2.4
85,2001,3,2001,1,2.1
87,2001,3,2001,1,2.8
89,2001,3,2001,1,3
90,2001,3,2001,1,2.8
91,2001,3,2001,1,3.2
92,2001,3,2001,1,2.68
93,2001,3,2001,1,2.8
94,2001,3,2001,1,2.6
95,2001,3,2001,1,2.7
96,2001,3,2001,1,2.3
1,2002,,2001,1,2.7
2,2002,,2001,1,2.3
3,2002,,2001,1,2.5
4,2002,,2001,1,3.1
5,2002,,2001,1,2.7
7,2002,,2001,1,2.6
9,2002,,2001,1,2.8
10,2002,,2001,1,3.2
11,2002,,2001,1,3.3
14,2002,,2001,1,2.7
15,2002,,2001,1,2.5
16,2002,,2001,1,3
17,2002,,2001,1,3.2
19,2002,,2001,1,3
20,2002,,2001,1,3
22,2002,,2001,1,2.6
23,2002,,2001,1,2.5
24,2002,,2001,1,3
26,2002,,2001,1,2.9
29,2002,,2001,1,2.7
31,2002,,2001,1,2.6
32,2002,,2001,1,2.5
33,2002,,2001,1,2.8
34,2002,,2001,1,2.7
36,2002,,2001,1,2.8
37,2002,,2001,1,3
38,2002,,2001,1,2.9
39,2002,,2001,1,3
41,2002,,2001,1,2.8
42,2002,,2001,1,2.8
48,2002,,2001,1,2.7
49,2002,,2001,1,2.8
53,2002,,2001,1,3
54,2002,,2001,1,2.8
55,2002,,2001,1,3.2
56,2002,,2001,1,2.7
59,2002,,2001,1,3
61,2002,,2001,1,3.1
68,2002,,2001,1,2.6
70,2002,,2001,1,2.8
73,2002,,2001,1,2.2
82,2002,,2001,1,2.3
85,2002,,2001,1,2.2
87,2002,,2001,1,3
89,2002,,2001,1,2.8
90,2002,,2001,1,2.8
91,2002,,2001,1,2.8
92,2002,,2001,1,2.84
93,2002,,2001,1,2.8
94,2002,,2001,1,1.1
95,2002,,2001,1,2.9
96,2002,,2001,1,2.2
1,2001,,2001,2,2.6
2,2001,,2001,2,2.4
3,2001,,2001,2,2.5
4,2001,,2001,2,2.5
5,2001,,2001,2,2.5
7,2001,,2001,2,2.3
9,2001,,2001,2,2.5
10,2001,,2001,2,2.5
11,2001,,2001,2,2.5
14,2001,,2001,2,2.4
15,2001,,2001,2,2.5
17,2001,,2001,2,2.7
19,2001,,2001,2,2.4
22,2001,,2001,2,2.2
23,2001,,2001,2,2.5
24,2001,,2001,2,2.4
26,2001,,2001,2,2.5
28,2001,,2001,2,2.4
29,2001,,2001,2,2.6
31,2001,,2001,2,2.4
32,2001,,2001,2,2.5
33,2001,,2001,2,2.6
36,2001,,2001,2,2.7
37,2001,,2001,2,2.5
38,2001,,2001,2,2.3
39,2001,,2001,2,2.5
41,2001,,2001,2,2.6
42,2001,,2001,2,2.4
46,2001,,2001,2,3.43
48,2001,,2001,2,2.4
49,2001,,2001,2,2.4
52,2001,,2001,2,2.4
53,2001,,2001,2,2.8
54,2001,,2001,2,2.6
56,2001,,2001,2,2.6
59,2001,,2001,2,2.2
60,2001,,2001,2,2.4
61,2001,,2001,2,2.7
70,2001,,2001,2,2.3
71,2001,,2001,2,2.2
72,2001,,2001,2,1.9
73,2001,,2001,2,2.4
76,2001,,2001,2,3
80,2001,,2001,2,2.5
85,2001,,2001,2,2.5
87,2001,,2001,2,2.4
89,2001,,2001,2,2.6
90,2001,,2001,2,2.7
91,2001,,2001,2,2.5
92,2001,,2001,2,2.75
93,2001,,2001,2,2.4
94,2001,,2001,2,2
96,2001,,2001,2,2.2
1,2001,4,2001,2,2.5
2,2001,4,2001,2,2.4
3,2001,4,2001,2,2.5
4,2001,4,2001,2,2.3
5,2001,4,2001,2,2.1
7,2001,4,2001,2,2.2
9,2001,4,2001,2,2.5
10,2001,4,2001,2,2.7
11,2001,4,2001,2,2.7
14,2001,4,2001,2,1.8
15,2001,4,2001,2,2.5
17,2001,4,2001,2,2.6
19,2001,4,2001,2,2.3
22,2001,4,2001,2,1.8
23,2001,4,2001,2,2.5
24,2001,4,2001,2,2.4
26,2001,4,2001,2,2.4
28,2001,4,2001,2,2.2
29,2001,4,2001,2,2.5
31,2001,4,2001,2,2.2
32,2001,4,2001,2,2.3
33,2001,4,2001,2,2.6
36,2001,4,2001,2,2.9
37,2001,4,2001,2,2.8
38,2001,4,2001,2,2
39,2001,4,2001,2,2.3
41,2001,4,2001,2,2.5
42,2001,4,2001,2,2.5
46,2001,4,2001,2,3.2
48,2001,4,2001,2,2.1
49,2001,4,2001,2,2.1
52,2001,4,2001,2,1.8
53,2001,4,2001,2,2.8
54,2001,4,2001,2,2.7
56,2001,4,2001,2,2.5
59,2001,4,2001,2,2.1
60,2001,4,2001,2,2.3
61,2001,4,2001,2,2.8
70,2001,4,2001,2,2.4
71,2001,4,2001,2,2.1
72,2001,4,2001,2,1.5
73,2001,4,2001,2,2.2
76,2001,4,2001,2,3
80,2001,4,2001,2,2.3
85,2001,4,2001,2,2.2
87,2001,4,2001,2,2.4
89,2001,4,2001,2,2.6
90,2001,4,2001,2,2.8
91,2001,4,2001,2,2.1
92,2001,4,2001,2,2.78
93,2001,4,2001,2,2.2
94,2001,4,2001,2,1.1
96,2001,4,2001,2,2
1,2002,,2001,2,2.8
2,2002,,2001,2,2.3
3,2002,,2001,2,2.5
4,2002,,2001,2,2.9
5,2002,,2001,2,2.5
7,2002,,2001,2,2.6
9,2002,,2001,2,2.8
10,2002,,2001,2,3
11,2002,,2001,2,3
14,2002,,2001,2,2
15,2002,,2001,2,2.5
17,2002,,2001,2,2.6
19,2002,,2001,2,2.9
22,2002,,2001,2,2.2
23,2002,,2001,2,2.5
24,2002,,2001,2,2.8
26,2002,,2001,2,2.8
28,2002,,2001,2,2.7
29,2002,,2001,2,2.5
31,2002,,2001,2,2.4
32,2002,,2001,2,2.4
33,2002,,2001,2,2.6
36,2002,,2001,2,2.8
37,2002,,2001,2,2.9
38,2002,,2001,2,2.5
39,2002,,2001,2,2.8
41,2002,,2001,2,2.9
42,2002,,2001,2,2.9
46,2002,,2001,2,3.5
48,2002,,2001,2,2.5
49,2002,,2001,2,2.7
52,2002,,2001,2,2.3
53,2002,,2001,2,2.8
54,2002,,2001,2,2.8
56,2002,,2001,2,2.7
59,2002,,2001,2,2.8
60,2002,,2001,2,2.7
61,2002,,2001,2,3
70,2002,,2001,2,2.5
71,2002,,2001,2,2.5
72,2002,,2001,2,2.2
73,2002,,2001,2,2
76,2002,,2001,2,3
80,2002,,2001,2,2.4
85,2002,,2001,2,2.2
87,2002,,2001,2,2.8
89,2002,,2001,2,2.7
90,2002,,2001,2,2.8
91,2002,,2001,2,2.3
92,2002,,2001,2,2.84
93,2002,,2001,2,2.7
94,2002,,2001,2,2.4
96,2002,,2001,2,2
1,2001,,2001,3,1.9
3,2001,,2001,3,1.8
5,2001,,2001,3,2
7,2001,,2001,3,1.8
11,2001,,2001,3,2
14,2001,,2001,3,1.7
15,2001,,2001,3,2.2
19,2001,,2001,3,2.2
22,2001,,2001,3,1.9
23,2001,,2001,3,2
24,2001,,2001,3,1.8
26,2001,,2001,3,1.8
28,2001,,2001,3,1.9
29,2001,,2001,3,1.9
31,2001,,2001,3,2.1
32,2001,,2001,3,2.1
33,2001,,2001,3,2.1
36,2001,,2001,3,2.5
37,2001,,2001,3,2
39,2001,,2001,3,2
41,2001,,2001,3,2.3
42,2001,,2001,3,2
47,2001,,2001,3,2.1
49,2001,,2001,3,1.9
53,2001,,2001,3,2.1
54,2001,,2001,3,2
56,2001,,2001,3,2.3
59,2001,,2001,3,2
61,2001,,2001,3,2.1
68,2001,,2001,3,2.1
80,2001,,2001,3,2.1
85,2001,,2001,3,2
87,2001,,2001,3,2
89,2001,,2001,3,2.3
90,2001,,2001,3,2.1
91,2001,,2001,3,2
92,2001,,2001,3,2.6
93,2001,,2001,3,1.9
94,2001,,2001,3,2.2
95,2001,,2001,3,2
96,2001,,2001,3,1.9
1,2002,,2001,3,1.5
3,2002,,2001,3,2
5,2002,,2001,3,2.3
7,2002,,2001,3,2.1
11,2002,,2001,3,2.6
14,2002,,2001,3,2.1
15,2002,,2001,3,2.5
19,2002,,2001,3,2.3
22,2002,,2001,3,1.8
23,2002,,2001,3,2.5
24,2002,,2001,3,2.3
26,2002,,2001,3,2.2
28,2002,,2001,3,2.5
29,2002,,2001,3,2.5
31,2002,,2001,3,2.4
32,2002,,2001,3,2.5
33,2002,,2001,3,2.5
36,2002,,2001,3,2.5
37,2002,,2001,3,2.4
39,2002,,2001,3,2.5
41,2002,,2001,3,2.7
42,2002,,2001,3,2.5
47,2002,,2001,3,2.3
49,2002,,2001,3,2.5
53,2002,,2001,3,2.5
54,2002,,2001,3,2.4
56,2002,,2001,3,2.6
59,2002,,2001,3,2.6
61,2002,,2001,3,2.5
68,2002,,2001,3,2.5
80,2002,,2001,3,2.4
85,2002,,2001,3,2.5
87,2002,,2001,3,2.3
89,2002,,2001,3,2.6
90,2002,,2001,3,2.6
91,2002,,2001,3,2
92,2002,,2001,3,3
93,2002,,2001,3,2.2
94,2002,,2001,3,2
95,2002,,2001,3,2.5
96,2002,,2001,3,2
1,2002,1,2001,3,1.2
3,2002,1,2001,3,2
5,2002,1,2001,3,1.4
7,2002,1,2001,3,1.5
11,2002,1,2001,3,2.3
14,2002,1,2001,3,1
15,2002,1,2001,3,2.2
19,2002,1,2001,3,2.1
22,2002,1,2001,3,1.2
23,2002,1,2001,3,1.8
24,2002,1,2001,3,1.5
26,2002,1,2001,3,1.4
28,2002,1,2001,3,1.7
29,2002,1,2001,3,2.5
31,2002,1,2001,3,1.9
32,2002,1,2001,3,2
33,2002,1,2001,3,2.3
36,2002,1,2001,3,2.3
37,2002,1,2001,3,1.8
39,2002,1,2001,3,2
41,2002,1,2001,3,2.4
42,2002,1,2001,3,1.9
47,2002,1,2001,3,1.8
49,2002,1,2001,3,1.7
53,2002,1,2001,3,2
54,2002,1,2001,3,2.3
56,2002,1,2001,3,2.3
59,2002,1,2001,3,2
61,2002,1,2001,3,2
68,2002,1,2001,3,2
80,2002,1,2001,3,2.5
85,2002,1,2001,3,2.3
87,2002,1,2001,3,2.1
89,2002,1,2001,3,2.5
90,2002,1,2001,3,2.2
91,2002,1,2001,3,2
92,2002,1,2001,3,2.9
93,2002,1,2001,3,1.5
94,2002,1,2001,3,2
95,2002,1,2001,3,2.3
96,2002,1,2001,3,1.7
1,2001,,2001,4,1.7
2,2001,,2001,4,1.2
3,2001,,2001,4,1.5
4,2001,,2001,4,1.5
5,2001,,2001,4,1.4
9,2001,,2001,4,1.4
10,2001,,2001,4,1.7
11,2001,,2001,4,1.3
15,2001,,2001,4,1.6
17,2001,,2001,4,1.8
19,2001,,2001,4,1.5
22,2001,,2001,4,1.5
24,2001,,2001,4,1.4
26,2001,,2001,4,1.5
28,2001,,2001,4,1.6
29,2001,,2001,4,1.5
31,2001,,2001,4,1.3
32,2001,,2001,4,1.5
33,2001,,2001,4,1.5
36,2001,,2001,4,1.6
37,2001,,2001,4,1.5
39,2001,,2001,4,1.6
40,2001,,2001,4,1.6
41,2001,,2001,4,1.6
42,2001,,2001,4,1.5
47,2001,,2001,4,1.5
48,2001,,2001,4,1.6
50,2001,,2001,4,1.5
53,2001,,2001,4,1.6
54,2001,,2001,4,1.6
61,2001,,2001,4,1.6
63,2001,,2001,4,1.3
64,2001,,2001,4,1.4
68,2001,,2001,4,1.6
71,2001,,2001,4,1.6
72,2001,,2001,4,1.4
76,2001,,2001,4,1.5
80,2001,,2001,4,1.7
85,2001,,2001,4,1.5
87,2001,,2001,4,1.5
89,2001,,2001,4,1.7
90,2001,,2001,4,1.7
91,2001,,2001,4,1.7
92,2001,,2001,4,2
93,2001,,2001,4,1.5
94,2001,,2001,4,1.6
95,2001,,2001,4,1.5
96,2001,,2001,4,1.6
1,2002,,2001,4,1.7
2,2002,,2001,4,1.3
3,2002,,2001,4,1.2
4,2002,,2001,4,1.8
5,2002,,2001,4,1.4
9,2002,,2001,4,1.6
10,2002,,2001,4,1.7
11,2002,,2001,4,0.9
15,2002,,2001,4,2
17,2002,,2001,4,2
19,2002,,2001,4,1.7
22,2002,,2001,4,1
24,2002,,2001,4,0.8
26,2002,,2001,4,1.3
28,2002,,2001,4,0.6
29,2002,,2001,4,1.8
31,2002,,2001,4,1.6
32,2002,,2001,4,2.1
33,2002,,2001,4,1.8
36,2002,,2001,4,1.9
37,2002,,2001,4,1.7
39,2002,,2001,4,1.5
40,2002,,2001,4,1.8
41,2002,,2001,4,1.7
42,2002,,2001,4,1.2
47,2002,,2001,4,1.1
48,2002,,2001,4,1.9
50,2002,,2001,4,2
53,2002,,2001,4,1.6
54,2002,,2001,4,1.5
61,2002,,2001,4,1.2
63,2002,,2001,4,1.4
64,2002,,2001,4,1.5
68,2002,,2001,4,1.6
71,2002,,2001,4,1.6
72,2002,,2001,4,0.2
76,2002,,2001,4,1.5
80,2002,,2001,4,1.8
85,2002,,2001,4,1.5
87,2002,,2001,4,1.5
89,2002,,2001,4,1.6
90,2002,,2001,4,1.9
91,2002,,2001,4,1.5
92,2002,,2001,4,2.5
93,2002,,2001,4,1.7
94,2002,,2001,4,1.2
95,2002,,2001,4,1.4
96,2002,,2001,4,1.5
1,2002,2,2001,4,1.2
2,2002,2,2001,4,1.5
3,2002,2,2001,4,1.3
4,2002,2,2001,4,1.3
5,2002,2,2001,4,0.8
9,2002,2,2001,4,1.6
10,2002,2,2001,4,1
11,2002,2,2001,4,0.5
15,2002,2,2001,4,1.75
17,2002,2,2001,4,1.5
19,2002,2,2001,4,2.1
22,2002,2,2001,4,0.9
24,2002,2,2001,4,0.4
26,2002,2,2001,4,1
28,2002,2,2001,4,0.2
29,2002,2,2001,4,1.3
31,2002,2,2001,4,1.1
32,2002,2,2001,4,1.8
33,2002,2,2001,4,1.9
36,2002,2,2001,4,2
37,2002,2,2001,4,1
39,2002,2,2001,4,0.9
40,2002,2,2001,4,1.4
41,2002,2,2001,4,1.4
42,2002,2,2001,4,0.7
47,2002,2,2001,4,0.6
48,2002,2,2001,4,1.5
50,2002,2,2001,4,1.3
53,2002,2,2001,4,1
54,2002,2,2001,4,1.5
61,2002,2,2001,4,0.8
63,2002,2,2001,4,0.8
64,2002,2,2001,4,1.2
68,2002,2,2001,4,1.2
71,2002,2,2001,4,1.3
72,2002,2,2001,4,-0.2
76,2002,2,2001,4,1.2
80,2002,2,2001,4,1.7
85,2002,2,2001,4,2
87,2002,2,2001,4,1.1
89,2002,2,2001,4,1.4
90,2002,2,2001,4,2.5
91,2002,2,2001,4,2
92,2002,2,2001,4,2.6
93,2002,2,2001,4,0.5
94,2002,2,2001,4,1
95,2002,2,2001,4,1
96,2002,2,2001,4,1.2
1,2002,,2002,1,1.3
2,2002,,2002,1,1
3,2002,,2002,1,1.1
4,2002,,2002,1,1.2
7,2002,,2002,1,1.3
11,2002,,2002,1,1.1
14,2002,,2002,1,1.4
15,2002,,2002,1,1.75
16,2002,,2002,1,1.1
17,2002,,2002,1,1.7
20,2002,,2002,1,1.3
22,2002,,2002,1,0.8
26,2002,,2002,1,0.9
28,2002,,2002,1,1
29,2002,,2002,1,1.1
31,2002,,2002,1,1.1
33,2002,,2002,1,2
36,2002,,2002,1,1.6
37,2002,,2002,1,1.1
39,2002,,2002,1,1.36
40,2002,,2002,1,1.4
41,2002,,2002,1,1.2
42,2002,,2002,1,1.3
47,2002,,2002,1,0.9
48,2002,,2002,1,1.4
50,2002,,2002,1,1.4
52,2002,,2002,1,0.9
53,2002,,2002,1,1
54,2002,,2002,1,1.1
56,2002,,2002,1,1.6
59,2002,,2002,1,1.3
61,2002,,2002,1,1.2
63,2002,,2002,1,1.1
65,2002,,2002,1,1.3
72,2002,,2002,1,0.8
73,2002,,2002,1,2
76,2002,,2002,1,1.5
80,2002,,2002,1,1.4
85,2002,,2002,1,1.3
87,2002,,2002,1,1.1
89,2002,,2002,1,1.3
90,2002,,2002,1,1.3
91,2002,,2002,1,1.3
92,2002,,2002,1,3.3
93,2002,,2002,1,1.5
94,2002,,2002,1,2.1
95,2002,,2002,1,1.17546248
96,2002,,2002,1,1.2
1,2002,3,2002,1,1.2
2,2002,3,2002,1,2
3,2002,3,2002,1,1.8
4,2002,3,2002,1,1.4
7,2002,3,2002,1,1.5
11,2002,3,2002,1,3
14,2002,3,2002,1,1.8
15,2002,3,2002,1,2.1
16,2002,3,2002,1,1.4
17,2002,3,2002,1,2
20,2002,3,2002,1,2.2
22,2002,3,2002,1,0.6
26,2002,3,2002,1,0.9
28,2002,3,2002,1,1.2
29,2002,3,2002,1,1.1
31,2002,3,2002,1,1.1
33,2002,3,2002,1,2.2
36,2002,3,2002,1,2.2
37,2002,3,2002,1,1.3
39,2002,3,2002,1,1.5
40,2002,3,2002,1,1.5
41,2002,3,2002,1,1.4
42,2002,3,2002,1,1.6
47,2002,3,2002,1,1
48,2002,3,2002,1,2.1
50,2002,3,2002,1,1.3
52,2002,3,2002,1,1
53,2002,3,2002,1,1.3
54,2002,3,2002,1,1.2
56,2002,3,2002,1,1.9
59,2002,3,2002,1,1.6
61,2002,3,2002,1,1.3
63,2002,3,2002,1,3.1
65,2002,3,2002,1,2.5
72,2002,3,2002,1,0.9
73,2002,3,2002,1,2
76,2002,3,2002,1,1.8
80,2002,3,2002,1,1.6
85,2002,3,2002,1,1.6
87,2002,3,2002,1,1.6
89,2002,3,2002,1,1.7
90,2002,3,2002,1,1.4
91,2002,3,2002,1,1.4
92,2002,3,2002,1,3.2
93,2002,3,2002,1,2
94,2002,3,2002,1,2.4
95,2002,3,2002,1,1.5
96,2002,3,2002,1,1.3
1,2003,,2002,1,2.1
2,2003,,2002,1,2.3
3,2003,,2002,1,2.6
4,2003,,2002,1,2.6
7,2003,,2002,1,3
11,2003,,2002,1,2.9
14,2003,,2002,1,2.9
15,2003,,2002,1,2
16,2003,,2002,1,2
17,2003,,2002,1,2.3
20,2003,,2002,1,2.4
22,2003,,2002,1,2
26,2003,,2002,1,2
28,2003,,2002,1,2.3
29,2003,,2002,1,2.5
31,2003,,2002,1,3
33,2003,,2002,1,2.5
36,2003,,2002,1,2.6
37,2003,,2002,1,2.2
39,2003,,2002,1,2.9
40,2003,,2002,1,2.7
41,2003,,2002,1,2.5
42,2003,,2002,1,2.8
47,2003,,2002,1,2.6
48,2003,,2002,1,2.7
50,2003,,2002,1,2.5
52,2003,,2002,1,3.1
53,2003,,2002,1,2.8
54,2003,,2002,1,2.6
56,2003,,2002,1,3
59,2003,,2002,1,3
61,2003,,2002,1,3
63,2003,,2002,1,3
65,2003,,2002,1,2.2
72,2003,,2002,1,2.7
73,2003,,2002,1,2.3
76,2003,,2002,1,1.5
80,2003,,2002,1,2.6
85,2003,,2002,1,2.3
87,2003,,2002,1,2.8
89,2003,,2002,1,2.2
90,2003,,2002,1,2.9
91,2003,,2002,1,1.8
92,2003,,2002,1,3.1
93,2003,,2002,1,2.5
94,2003,,2002,1,3
95,2003,,2002,1,2.35140401
96,2003,,2002,1,2
1,2002,,2002,2,1.3
2,2002,,2002,2,1.2
3,2002,,2002,2,1.2
4,2002,,2002,2,1.6
5,2002,,2002,2,1.4
7,2002,,2002,2,1.7
9,2002,,2002,2,1.7
11,2002,,2002,2,1.3
14,2002,,2002,2,1.4
15,2002,,2002,2,1.8
16,2002,,2002,2,1.5
17,2002,,2002,2,1.7
19,2002,,2002,2,1.3
22,2002,,2002,2,0.9
24,2002,,2002,2,1.2
26,2002,,2002,2,1
28,2002,,2002,2,1.2
29,2002,,2002,2,1.4
31,2002,,2002,2,1.2
32,2002,,2002,2,1.7
33,2002,,2002,2,1.5
36,2002,,2002,2,1.6
37,2002,,2002,2,1.3
39,2002,,2002,2,1.8
41,2002,,2002,2,1.2
42,2002,,2002,2,1.5
47,2002,,2002,2,0.9
48,2002,,2002,2,1.2
49,2002,,2002,2,1.2
50,2002,,2002,2,1.2
52,2002,,2002,2,1.2
53,2002,,2002,2,1.2
54,2002,,2002,2,1.3
56,2002,,2002,2,1.4
57,2002,,2002,2,1.4
60,2002,,2002,2,1.2
63,2002,,2002,2,1.5
64,2002,,2002,2,1.4
66,2002,,2002,2,1.6
67,2002,,2002,2,1.4
68,2002,,2002,2,1.3
70,2002,,2002,2,1.2
76,2002,,2002,2,1.75
80,2002,,2002,2,1.4
85,2002,,2002,2,1.3
87,2002,,2002,2,1.2
89,2002,,2002,2,1.4
90,2002,,2002,2,1.3
92,2002,,2002,2,1.3
93,2002,,2002,2,2
94,2002,,2002,2,1.9
95,2002,,2002,2,1.3
96,2002,,2002,2,1.2
1,2002,4,2002,2,2.5
2,2002,4,2002,2,2.2
3,2002,4,2002,2,1.9
4,2002,4,2002,2,2.7
5,2002,4,2002,2,1.8
7,2002,4,2002,2,3.2
9,2002,4,2002,2,2
11,2002,4,2002,2,3
14,2002,4,2002,2,3
15,2002,4,2002,2,2.2
16,2002,4,2002,2,2.3
17,2002,4,2002,2,2.2
19,2002,4,2002,2,2.2
22,2002,4,2002,2,1.3
24,2002,4,2002,2,2.2
26,2002,4,2002,2,3
28,2002,4,2002,2,2.2
29,2002,4,2002,2,2.6
31,2002,4,2002,2,2.3
32,2002,4,2002,2,2.9
33,2002,4,2002,2,2.3
36,2002,4,2002,2,2.2
37,2002,4,2002,2,2
39,2002,4,2002,2,3
41,2002,4,2002,2,2.1
42,2002,4,2002,2,2.6
47,2002,4,2002,2,1.9
48,2002,4,2002,2,2
49,2002,4,2002,2,2.2
50,2002,4,2002,2,2.2
52,2002,4,2002,2,2.2
53,2002,4,2002,2,2.2
54,2002,4,2002,2,2.2
56,2002,4,2002,2,2.6
57,2002,4,2002,2,2.8
60,2002,4,2002,2,2.3
63,2002,4,2002,2,2.7
64,2002,4,2002,2,2.8
66,2002,4,2002,2,2.8
67,2002,4,2002,2,2
68,2002,4,2002,2,2.4
70,2002,4,2002,2,2.1
76,2002,4,2002,2,2.9
80,2002,4,2002,2,2.3
85,2002,4,2002,2,2.2
87,2002,4,2002,2,2.5
89,2002,4,2002,2,2.2
90,2002,4,2002,2,2.5
92,2002,4,2002,2,2.9
93,2002,4,2002,2,2.5
94,2002,4,2002,2,2.5
95,2002,4,2002,2,1.9
96,2002,4,2002,2,1.3
1,2003,,2002,2,2.9
2,2003,,2002,2,2.6
3,2003,,2002,2,2.6
4,2003,,2002,2,2.8
5,2003,,2002,2,2.4
7,2003,,2002,2,3.1
9,2003,,2002,2,2.2
11,2003,,2002,2,2.9
14,2003,,2002,2,2.9
15,2003,,2002,2,2.5
16,2003,,2002,2,2.3
17,2003,,2002,2,2.7
19,2003,,2002,2,2.6
22,2003,,2002,2,2
24,2003,,2002,2,2.6
26,2003,,2002,2,2.8
28,2003,,2002,2,2.4
29,2003,,2002,2,2.9
31,2003,,2002,2,3.1
32,2003,,2002,2,3
33,2003,,2002,2,2.5
36,2003,,2002,2,2.6
37,2003,,2002,2,2.7
39,2003,,2002,2,2.9
41,2003,,2002,2,2.7
42,2003,,2002,2,2.8
47,2003,,2002,2,2.6
48,2003,,2002,2,2.5
49,2003,,2002,2,2.4
50,2003,,2002,2,2.9
52,2003,,2002,2,2.9
53,2003,,2002,2,2.8
54,2003,,2002,2,2.6
56,2003,,2002,2,2.9
57,2003,,2002,2,3.2
60,2003,,2002,2,2.7
63,2003,,2002,2,2.9
64,2003,,2002,2,3.2
66,2003,,2002,2,3
67,2003,,2002,2,2.5
68,2003,,2002,2,2.8
70,2003,,2002,2,2.4
76,2003,,2002,2,2.75
80,2003,,2002,2,2.5
85,2003,,2002,2,1.8
87,2003,,2002,2,2.8
89,2003,,2002,2,2.4
90,2003,,2002,2,2.9
92,2003,,2002,2,2.1
93,2003,,2002,2,2.5
94,2003,,2002,2,2.3
95,2003,,2002,2,2.8
96,2003,,2002,2,2
2,2002,,2002,3,1.1
4,2002,,2002,3,1.4
5,2002,,2002,3,1.3
9,2002,,2002,3,1.3
10,2002,,2002,3,1.37860101
11,2002,,2002,3,1
14,2002,,2002,3,1.2
15,2002,,2002,3,1.75
17,2002,,2002,3,1.6
19,2002,,2002,3,1.3
22,2002,,2002,3,0.8
24,2002,,2002,3,1.1
26,2002,,2002,3,1
28,2002,,2002,3,1
29,2002,,2002,3,1.1
30,2002,,2002,3,1
31,2002,,2002,3,1.2
32,2002,,2002,3,1.6
33,2002,,2002,3,0.8
36,2002,,2002,3,1.2
37,2002,,2002,3,1
39,2002,,2002,3,0.9
41,2002,,2002,3,1.1
42,2002,,2002,3,1.1
47,2002,,2002,3,0.9
48,2002,,2002,3,0.9
52,2002,,2002,3,1
53,2002,,2002,3,1
54,2002,,2002,3,1.1
56,2002,,2002,3,1.3
59,2002,,2002,3,1.3
60,2002,,2002,3,1.2
61,2002,,2002,3,1
66,2002,,2002,3,1.1
71,2002,,2002,3,1.1
76,2002,,2002,3,1.3
80,2002,,2002,3,1.2
85,2002,,2002,3,1
87,2002,,2002,3,1.2
89,2002,,2002,3,1.1
90,2002,,2002,3,1.1
