target_quarter,target_year,spf_filter_cy,spf_filter_ny,origin_quarter,origin_year
2,1991,1.22035149261859,1.22035149289275,1,2001
3,1991,0.242686548220704,0.242686548220705,1,2001
4,1991,3.9019132783761,3.9019132783761,1,2001
1,1992,5.67949033371342,5.67949033371342,1,2001
2,1992,-2.15845385305231,-2.15845385305231,1,2001
3,1992,-1.28747712943088,-1.28747712943088,1,2001
4,1992,-0.889854327095996,-0.889854327095996,1,2001
1,1993,-2.76785324946042,-2.76785324946042,1,2001
2,1993,0.30894852636647,0.30894852636647,1,2001
3,1993,1.22447410419595,1.22447410419595,1,2001
4,1993,1.4903550775744,1.4903550775744,1,2001
1,1994,4.05992642595303,4.05992642595303,1,2001
2,1994,2.07549720979923,2.07549720979923,1,2001
3,1994,2.73678377932585,2.73678377932585,1,2001
4,1994,3.37393012264526,3.37393012264526,1,2001
1,1995,2.43561441206268,2.43561441206268,1,2001
2,1995,2.10065976966085,2.10065976966085,1,2001
3,1995,0.40745099421633,0.40745099421633,1,2001
4,1995,0.923318769291126,0.923318769291126,1,2001
1,1996,0.975795507589483,0.975795507589483,1,2001
2,1996,2.58868091543496,2.58868091543496,1,2001
3,1996,2.27653823417493,2.27653823417493,1,2001
4,1996,0.847520542300018,0.847520542300018,1,2001
1,1997,0.707462962374183,0.707462962374184,1,2001
2,1997,4.9673476350411,4.9673476350411,1,2001
3,1997,2.90482768543348,2.90482768543348,1,2001
4,1997,3.39029458423401,3.39029458423401,1,2001
1,1998,3.44358337696575,3.44358337696575,1,2001
2,1998,1.3529405317863,1.3529405317863,1,2001
3,1998,2.1617340502966,2.1617340502966,1,2001
4,1998,1.08394753321359,1.08394753321359,1,2001
1,1999,3.07501228384053,3.07501228384053,1,2001
2,1999,2.31828188277918,2.31828188277918,1,2001
3,1999,3.89934161643468,3.89934161643468,1,2001
4,1999,3.92760695631864,3.92760695631864,1,2001
1,2000,3.71508896273649,3.71508896273649,1,2001
2,2000,3.33240467802769,3.33240467802769,1,2001
3,2000,2.73217648097268,2.73217648097268,1,2001
4,2000,2.70272113187874,2.68042118262341,1,2001
1,2001,2.68006317103724,2.6554654848489,1,2001
2,2001,2.66646839453234,2.66624258784073,1,2001
3,2001,2.65967100627989,2.69979577239848,1,2001
4,2001,2.65740521019574,2.74316831932173,1,2001
1,2002,,2.78340350941007,1,2001
2,2002,,2.80754462346308,1,2001
3,2002,,2.81961518048958,1,2001
4,2002,,2.82363869949841,1,2001
2,1991,1.03380705413862,1.03380705413862,2,2001
3,1991,0.221951484942905,0.221951484942907,2,2001
4,1991,3.86633767332045,3.86633767332045,2,2001
1,1992,5.86906539211933,5.86906539211933,2,2001
2,1992,-2.35096919690088,-2.35096919690088,2,2001
3,1992,-1.08865822184565,-1.08865822184565,2,2001
4,1992,-1.08937515191143,-1.08937515191143,2,2001
1,1993,-2.74514395996807,-2.74514395996807,2,2001
2,1993,0.155283009133944,0.155283009133944,2,2001
3,1993,1.5729998786215,1.5729998786215,2,2001
4,1993,1.56781798588088,1.56781798588088,2,2001
1,1994,3.61303084986029,3.61303084986029,2,2001
2,1994,2.32065514073023,2.32065514073023,2,2001
3,1994,2.95413091159094,2.95413091159094,2,2001
4,1994,3.18283271645303,3.18283271645303,2,2001
1,1995,2.35210954829024,2.35210954829024,2,2001
2,1995,2.0844020883876,2.0844020883876,2,2001
3,1995,0.377715613502793,0.377715613502794,2,2001
4,1995,1.02426197502647,1.02426197502647,2,2001
1,1996,1.14641432399198,1.14641432399198,2,2001
2,1996,2.213971591817,2.213971591817,2,2001
3,1996,2.4763225923129,2.4763225923129,2,2001
4,1996,0.690128817546776,0.690128817546776,2,2001
1,1997,1.16309018329293,1.16309018329293,2,2001
2,1997,4.70743652207279,4.70743652207279,2,2001
3,1997,2.76266170244552,2.76266170244552,2,2001
4,1997,3.59973205362374,3.59973205362374,2,2001
1,1998,3.56629010829461,3.56629010829461,2,2001
2,1998,1.2979694127919,1.2979694127919,2,2001
3,1998,2.32838326100828,2.32838326100828,2,2001
4,1998,1.031845155816,1.031845155816,2,2001
1,1999,3.14396944211055,3.14396944211055,2,2001
2,1999,2.19943459981997,2.19943459981997,2,2001
3,1999,4.07845750807045,4.07845750807045,2,2001
4,1999,4.02089109551278,4.02089109551278,2,2001
1,2000,3.7440865434178,3.7440865434178,2,2001
2,2000,3.06382008204198,3.06382008204198,2,2001
3,2000,2.23845215236032,2.23845215236032,2,2001
4,2000,2.84977351479012,2.84977351479012,2,2001
1,2001,2.52459783586891,2.42348896636271,2,2001
2,2001,2.32949242851619,2.28524760045225,2,2001
3,2001,2.23193972483982,2.34467465843795,2,2001
4,2001,2.1994221569477,2.511395381699,2,2001
1,2002,,2.69503501161461,2,2001
2,2002,,2.80521878956397,2,2001
3,2002,,2.86031067853865,2,2001
4,2002,,2.87867464153021,2,2001
2,1991,1.051216739026,1.0512167390363,3,2001
3,1991,-0.00996940672730706,-0.00996940672730462,3,2001
4,1991,3.9205399913538,3.9205399913538,3,2001
1,1992,5.99421609034667,5.99421609034667,3,2001
2,1992,-2.49120673522403,-2.49120673522403,3,2001
3,1992,-0.937605519471374,-0.937605519471374,3,2001
4,1992,-1.15104916961237,-1.15104916961237,3,2001
1,1993,-2.88262496431672,-2.88262496431672,3,2001
2,1993,0.314659308714549,0.314659308714549,3,2001
3,1993,1.60944996498464,1.60944996498464,3,2001
4,1993,1.62043889784009,1.62043889784009,3,2001
1,1994,3.51688399695422,3.51688399695422,3,2001
2,1994,2.32002058474339,2.32002058474339,3,2001
3,1994,2.83021061053559,2.83021061053559,3,2001
4,1994,3.40629517199069,3.40629517199069,3,2001
1,1995,2.21391989285327,2.21391989285327,3,2001
2,1995,2.15905713703166,2.15905713703166,3,2001
3,1995,0.379495896299086,0.379495896299087,3,2001
4,1995,0.93747579658503,0.93747579658503,3,2001
1,1996,1.32324665575336,1.32324665575336,3,2001
2,1996,2.05471436340903,2.05471436340903,3,2001
3,1996,2.49460789548872,2.49460789548872,3,2001
4,1996,0.606355068013964,0.606355068013964,3,2001
1,1997,1.15901880189271,1.15901880189271,3,2001
2,1997,4.82842628678435,4.82842628678435,3,2001
3,1997,2.82310645558797,2.82310645558797,3,2001
4,1997,3.51580695634033,3.51580695634033,3,2001
1,1998,3.91281199136773,3.91281199136773,3,2001
2,1998,1.33558559800491,1.33558559800491,3,2001
3,1998,2.2249500460034,2.2249500460034,3,2001
4,1998,0.91129612092513,0.911296120925131,3,2001
1,1999,3.29251087836839,3.29251087836839,3,2001
2,1999,2.1866755556742,2.1866755556742,3,2001
3,1999,4.11598662193462,4.11598662193462,3,2001
4,1999,4.00286635529183,4.00286635529183,3,2001
1,2000,3.84502351856724,3.84502351856724,3,2001
2,2000,3.02277283784982,3.02277283784982,3,2001
3,2000,2.39410547984213,2.39410547984213,3,2001
4,2000,2.43192810853234,2.43192810853234,3,2001
1,2001,2.20515515349451,2.20515515349451,3,2001
2,2001,1.62006195972461,1.36077741773179,3,2001
3,2001,1.32751536283965,1.38298465919057,3,2001
4,2001,1.22999983054467,1.89826834082746,3,2001
1,2002,,2.53311992559909,3,2001
2,2002,,2.91403087646207,3,2001
3,2002,,3.10448635189355,3,2001
4,2002,,3.16797151037072,3,2001
2,1991,0.841332714400411,0.841332714680616,4,2001
3,1991,0.292186238986236,0.292186238986236,4,2001
4,1991,3.68470964114307,3.68470964114307,4,2001
1,1992,6.06693048044398,6.06693048044398,4,2001
2,1992,-2.72207460449393,-2.72207460449393,4,2001
3,1992,-0.626125724150328,-0.626125724150328,4,2001
4,1992,-1.35108610362086,-1.35108610362086,4,2001
1,1993,-2.72852484101649,-2.72852484101649,4,2001
2,1993,0.161374048233709,0.161374048233709,4,2001
3,1993,1.79007511522771,1.79007511522771,4,2001
4,1993,1.41953252002818,1.41953252002818,4,2001
1,1994,3.41086556010453,3.41086556010453,4,2001
2,1994,2.32592621854888,2.32592621854888,4,2001
3,1994,2.98886113363803,2.98886113363803,4,2001
4,1994,3.30255754421043,3.30255754421043,4,2001
1,1995,2.14354500889271,2.14354500889271,4,2001
2,1995,2.49469266604576,2.49469266604576,4,2001
3,1995,0.404027558746245,0.404027558746245,4,2001
4,1995,0.827940929629678,0.827940929629678,4,2001
1,1996,1.12207578076406,1.12207578076406,4,2001
2,1996,2.40174720864823,2.40174720864823,4,2001
3,1996,2.32072270311448,2.32072270311448,4,2001
4,1996,0.683361866531751,0.683361866531751,4,2001
1,1997,1.11341834296861,1.11341834296861,4,2001
2,1997,4.76930198987045,4.76930198987045,4,2001
3,1997,2.69049087496911,2.69049087496911,4,2001
4,1997,3.92622136013234,3.92622136013234,4,2001
1,1998,3.56600240421159,3.56600240421159,4,2001
2,1998,1.52315176565991,1.52315176565991,4,2001
3,1998,2.05970231992401,2.05970231992401,4,2001
4,1998,0.639755161962263,0.639755161962263,4,2001
1,1999,3.92114602390967,3.92114602390967,4,2001
2,1999,2.02195374370384,2.02195374370384,4,2001
3,1999,4.48486091449987,4.48486091449987,4,2001
4,1999,3.97973979890973,3.97973979890973,4,2001
1,2000,3.96621216858499,3.96621216858499,4,2001
2,2000,3.122870020304,3.122870020304,4,2001
3,2000,2.0006956078134,2.0006956078134,4,2001
4,2000,2.41662200697821,2.41662200697821,4,2001
1,2001,2.06303883718004,2.06303883718004,4,2001
2,2001,0.201769249791095,0.201769249791095,4,2001
3,2001,0.415020796155954,0.211458424965189,4,2001
4,2001,0.48610464494424,0.896127444768526,4,2001
1,2002,,1.74792656320016,4,2001
2,2002,,2.25900603425914,4,2001
3,2002,,2.51454576978863,4,2001
4,2002,,2.59972568163179,4,2001
2,1991,0.786385002418832,0.786385002418832,1,2002
3,1991,0.288195043804129,0.288195043804129,1,2002
4,1991,3.69325564874532,3.69325564874532,1,2002
1,1992,5.97145724898835,5.97145724898835,1,2002
2,1992,-2.79774822990261,-2.79774822990261,1,2002
3,1992,-0.723737344476427,-0.723737344476427,1,2002
4,1992,-0.948044383700275,-0.948044383700275,1,2002
1,1993,-2.87990289662321,-2.87990289662321,1,2002
2,1993,0.0643690235962784,0.0643690235962779,1,2002
3,1993,1.82521421678954,1.82521421678954,1,2002
4,1993,1.54027352980426,1.54027352980426,1,2002
1,1994,3.58471206957427,3.58471206957427,1,2002
2,1994,1.84282664278237,1.84282664278237,1,2002
3,1994,2.93809189475087,2.93809189475087,1,2002
4,1994,3.38692934308438,3.38692934308438,1,2002
1,1995,2.00543866781941,2.00543866781941,1,2002
2,1995,2.71771075129093,2.71771075129093,1,2002
3,1995,0.605258348529514,0.605258348529514,1,2002
4,1995,0.725899239844985,0.725899239844985,1,2002
1,1996,0.88695654637565,0.88695654637565,1,2002
2,1996,2.71309327189351,2.71309327189351,1,2002
3,1996,2.14173184003821,2.14173184003821,1,2002
4,1996,0.804261679394935,0.804261679394935,1,2002
1,1997,1.37415590078684,1.37415590078684,1,2002
2,1997,4.48490669018675,4.48490669018675,1,2002
3,1997,2.53794313508893,2.53794313508893,1,2002
4,1997,4.19256644987249,4.19256644987249,1,2002
1,1998,3.59520478034243,3.59520478034243,1,2002
2,1998,1.6559111335777,1.6559111335777,1,2002
3,1998,2.08758882679774,2.08758882679774,1,2002
4,1998,0.486926641901331,0.486926641901331,1,2002
1,1999,3.68906050600992,3.68906050600992,1,2002
2,1999,2.52550991846712,2.52550991846712,1,2002
3,1999,4.41874542105116,4.41874542105116,1,2002
4,1999,3.94443374673268,3.94443374673268,1,2002
1,2000,3.60552915185686,3.60552915185686,1,2002
2,2000,3.55783336618241,3.55783336618241,1,2002
3,2000,1.65103910582047,1.65103910582047,1,2002
4,2000,2.35250056722371,2.35250056722371,1,2002
1,2001,2.32500340291779,2.32500340291779,1,2002
2,2001,0.252532341855338,0.252532341855338,1,2002
3,2001,0.496624005674784,0.496624005674784,1,2002
