origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,89.1458760238552,91.0218351933542,1.98976004913133,1.96415342782223
2,2001,90.4171829285338,92.2190029139327,1.96687459406911,1.94308845071563
3,2001,93.2361411672539,95.1163405737022,2.03190115361597,2.01741282697132
4,2001,96.0011541288862,97.8025508170854,2.10248814513389,2.09018971270761
1,2002,99.5632319694466,101.523710737774,2.08628258292969,2.06369916455545
2,2002,102.076779640554,103.945067655159,2.12267953856248,2.09886381868232
3,2002,103.19002219442,105.018433445124,2.099604344265,2.08204255306907
4,2002,103.905213591964,105.432943699722,2.06800425960608,2.04550209441856
1,2003,106.762610826377,108.695634002288,2.02295635569221,2.00305607945972
2,2003,107.290764997022,109.157757841159,1.97150468153129,1.95417199203097
3,2003,109.243306216028,110.960562248853,1.98933995545929,1.97175509809474
4,2003,110.692267418257,112.251608587024,1.99361458925592,1.97634693829358
1,2004,116.036292529222,117.945745021398,2.05474886646944,2.0345511157957
2,2004,117.461310759571,119.282505923057,2.04151279184838,2.02180013240966
3,2004,118.960547120061,120.640616597985,2.03931895962663,2.02028228823103
4,2004,119.567403511906,121.071782332918,2.01022136958747,1.9917566303737
1,2005,124.326725290423,126.23094655216,2.04465471884536,2.02599990030074
2,2005,124.445145047885,126.256728445769,1.98490208138209,1.96774879968829
3,2005,120.233944023616,121.821796484021,1.79158591302393,1.77719186974115
4,2005,123.141573381018,124.555178221595,1.84480743925146,1.82887049847173
1,2006,123.279721415253,125.021248426983,1.73324156681184,1.71856944015101
2,2006,125.291731779249,127.021811460968,1.7458474465072,1.7331134546455
3,2006,125.579583475084,127.156671343228,1.71382231019114,1.70188982254795
4,2006,125.408679028002,127.276355954509,1.67588072245809,1.67712928435215
1,2007,129.666147410651,131.385116176484,1.69210353739483,1.67872217307271
2,2007,131.15266391676,132.852941399729,1.69011908966044,1.67862834088277
3,2007,132.070358986115,133.550010452554,1.67831534376834,1.66538661994083
4,2007,133.05010144774,134.380307420577,1.67331204392206,1.66095514059852
1,2008,136.949513481809,138.714796317134,1.67942491991837,1.66827660623322
2,2008,138.70593406114,140.344726738078,1.68453676138023,1.67232490073461
3,2008,143.059163569545,144.925046041992,1.76026224616023,1.75607066138589
4,2008,142.099956307901,143.445308465317,1.705505307781,1.69353869162182
1,2009,145.439293051669,148.098377969263,1.69728096083938,1.70775641341336
2,2009,151.164764034088,153.636655399679,1.79974762370619,1.80656453044046
3,2009,160.761105721992,162.433148256301,2.01590573888116,2.00231905353933
4,2009,165.660990167507,167.217103194683,2.11617999444061,2.10198863185451
1,2010,169.173973665266,171.122197422803,2.10532696409727,2.09163549470611
2,2010,171.503438407605,173.364428179671,2.12083835162324,2.10685155137407
3,2010,172.135317566999,173.86657972927,2.09417790866619,2.08136834981866
4,2010,173.765856963001,175.331006815624,2.10058184367573,2.08764912209527
1,2011,176.761022258283,178.686746036034,2.07673396764236,2.06367942473496
2,2011,177.769702487578,179.602890792415,2.05694052406743,2.04412262854238
3,2011,180.016093159923,181.76362482163,2.07459397925735,2.06318151762978
4,2011,181.600099034918,183.179470297299,2.07968092122211,2.06811422717574
1,2012,185.248195499225,187.30265471757,2.07390530705962,2.06472845754633
2,2012,187.223651210449,189.133033317556,2.0791982922057,2.06846753075585
3,2012,189.010314617573,190.869612228925,2.08448275244732,2.07616635502474
4,2012,189.13778804244,190.947876540455,2.05373999595642,2.04862623380601
1,2013,192.526285978208,194.50150095021,2.04242595066578,2.03230877243474
2,2013,194.634945865181,196.462738155046,2.05089585453051,2.0392172908875
3,2013,197.144946756037,198.839165078518,2.07316230770843,2.06156269770214
4,2013,198.849351569458,200.528122217148,2.08061485489269,2.07233973592676
1,2014,201.174032077914,203.081315355337,2.04504732339326,2.03381398157213
2,2014,202.452441535724,204.279430271449,2.03447950742111,2.02355585100758
3,2014,203.733424782943,205.403569464565,2.02850175236115,2.0175888788021
4,2014,204.694916456561,206.200332782823,2.01975740195745,2.00900015031995
1,2015,209.396825637329,211.299693907628,2.03821348162259,2.02746503410907
2,2015,212.089523974039,213.921698632981,2.05861468503944,2.04787988839483
3,2015,213.194191671488,214.876294542958,2.04879929872458,2.03827256503661
4,2015,213.056755305678,214.573166203923,2.01714031036053,2.00708569921514
1,2016,216.167287445775,218.055329581402,2.00206674726503,1.99199608940203
2,2016,218.01566796656,219.821994429317,2.00448979421946,1.99447009677995
3,2016,218.630612105101,220.355023136173,1.98609494867761,1.97772890535389
4,2016,220.763437296757,222.261313233681,2.00170573879065,1.99190674698652
1,2017,223.975644931522,225.854211841411,1.98946384747026,1.97978353304007
2,2017,225.647920074407,227.446683845141,1.98849743591819,1.97894756627784
3,2017,226.269343321201,227.924742089883,1.97122294514731,1.96208663121624
4,2017,227.304506922427,228.783467177984,1.96560985105728,1.95633660309046
1,2018,230.13569343855,231.993766909222,1.94736437228874,1.93825850160109
2,2018,231.286943471384,233.061997644652,1.93738600129782,1.92846701132049
3,2018,232.256294300116,233.880218232949,1.92784022298359,1.91906994463251
4,2018,234.238210419173,235.705898871246,1.93971973979434,1.93093544120283
1,2019,237.628863201499,239.494994985959,1.93240105236642,1.92396333043854
2,2019,238.807986003177,240.57423269537,1.92347185024898,1.91490508702665
3,2019,240.673562709338,242.29716306501,1.92983647989926,1.92134414449777
4,2019,245.977700700742,247.525511437373,1.99920960631405,1.99134279408175
1,2020,253.748823386503,255.667960858791,2.06941172500954,2.06041188632186
2,2020,261.227181505201,278.611771835079,2.17487820145286,2.47498026698469
3,2020,275.818328651577,301.748724076832,2.43222849135804,2.97516727476758
4,2020,379.010003871706,384.965727857678,5.79827429200123,5.94211382541512
1,2021,454.72468246171,460.010060337345,10.5665868651594,10.6767803913788
2,2021,465.23837709795,468.812630561983,11.2182491312891,11.1757565727643
3,2021,468.554838752594,471.976490899232,11.2236224553168,11.1809475852527
4,2021,473.002096600717,476.96571758895,11.3517324467215,11.373130867648
1,2022,476.569894772505,480.181150879432,11.1666481033066,11.1218201578762
2,2022,480.109112962825,483.633859398465,11.1749880067707,11.1299304328639
3,2022,484.515036586412,487.909684061078,11.2791862020871,11.2348037825002
4,2022,485.399463264598,488.627382053962,11.0828978665772,11.0405902256241
1,2023,487.641500033757,491.222908079392,10.7957767445233,10.7541322710839
2,2023,490.690787119025,494.178013771992,10.7648515488424,10.7227902321695
3,2023,491.253494175794,494.571918555764,10.5438626471338,10.5029406232429
4,2023,492.834292750798,495.985924029175,10.4275737390124,10.3877644279059
1,2024,497.019956837605,500.545697716535,10.3236016526002,10.2841328734993
2,2024,500.283972310756,503.727773711192,10.3153403502264,10.2761942829924
3,2024,498.502389668596,501.7613338997,9.93517641464128,9.89777288876092
4,2024,500.185512685669,503.275996756846,9.84084191361224,9.8041552477253
